event_id,time_epoch,magnitude,place,latitude,longitude,depth_km,updated_epoch,alert,status,timestamp,is_mainshock,aftershock_of_event_id,dt_days,dr_km
ci3249902,821345687600,3.49,"15km NNE of Ridgecrest, California",35.751,-117.635,2.88,1455293065541,,reviewed,1996-01-11 07:34:47.600000+00:00,False,,,
ci3249913,821349994560,4.19,"13km NE of Barstow, California",34.994,-116.943,6.051,1455329777962,,reviewed,1996-01-11 08:46:34.560000+00:00,False,,,
ci3249965,821374679300,2.56,"14km NNE of Ridgecrest, California",35.735,-117.625,6.68,1455265397671,,reviewed,1996-01-11 15:37:59.300000+00:00,False,,,
nc30094130,821380013590,3.37,"13 km W of Three Rocks, California",36.4991667,-120.5368333,13.732,1482557733100,,reviewed,1996-01-11 17:06:53.590000+00:00,False,,,
ci3250030,821406905900,3.62,"18km N of Ridgecrest, California",35.784,-117.655,3.096,1455256813846,,reviewed,1996-01-12 00:35:05.900000+00:00,False,,,
ci3250048,821419343450,2.53,"13km NNE of Ridgecrest, California",35.733,-117.628,5.15,1455329780437,,reviewed,1996-01-12 04:02:23.450000+00:00,False,,,
ci3250053,821422189570,2.68,"27km N of Yucca Valley, California",34.354,-116.477,-1.364,1455274331822,,reviewed,1996-01-12 04:49:49.570000+00:00,False,,,
nc30094264,821446054770,3.02,"8 km SSE of Huron, California",36.1351667,-120.0491667,8.167,1482557978800,,reviewed,1996-01-12 11:27:34.770000+00:00,False,,,
ci3250130,821468702540,2.98,"20km SW of Little Lake, California",35.785,-118.035,4.76,1455265404070,,reviewed,1996-01-12 17:45:02.540000+00:00,False,,,
ci3250259,821513620740,2.77,"2km S of San Fernando, California",34.262,-118.442,10.458,1455329797479,,reviewed,1996-01-13 06:13:40.740000+00:00,False,,,
ci3250268,821518829810,2.83,"9km SW of Valencia, California",34.391,-118.631,13.837,1455311642777,,reviewed,1996-01-13 07:40:29.810000+00:00,False,,,
nc30094317,821525810320,2.52,"1 km SSE of Avenal, California",35.9935,-120.125,13.183,1482558143890,,reviewed,1996-01-13 09:36:50.320000+00:00,False,,,
ci3250324,821555723420,3.61,"8km SE of Santa Clarita, California",34.363,-118.448,3.717,1455293088505,,reviewed,1996-01-13 17:55:23.420000+00:00,False,,,
ci3250419,821603363020,2.5,"8km N of Pacoima, California",34.358,-118.449,4.097,1455248084477,,reviewed,1996-01-14 07:09:23.020000+00:00,False,,,
ci3250529,821660381440,2.87,"17km NNE of Ridgecrest, California",35.761,-117.611,-0.11,1455220141411,,reviewed,1996-01-14 22:59:41.440000+00:00,False,,,
ci3250579,821687849140,2.52,"15km NNE of Ridgecrest, California",35.747,-117.621,1.18,1455293102519,,reviewed,1996-01-15 06:37:29.140000+00:00,False,,,
ci3250933,821687891480,2.58,"16km NNE of Ridgecrest, California",35.748,-117.604,2.724,1455220145488,,reviewed,1996-01-15 06:38:11.480000+00:00,False,,,
ci3250621,821714663940,2.6,"16km NNE of Ridgecrest, California",35.7533333,-117.6221667,2.29,1455311668267,,reviewed,1996-01-15 14:04:23.940000+00:00,False,,,
ci3250696,821757042990,3.33,"14km NNE of Ridgecrest, California",35.742,-117.62,4.55,1455339010475,,reviewed,1996-01-16 01:50:42.990000+00:00,False,,,
ci3250740,821796477370,3.07,"3km SSW of Big Bear Lake, CA",34.2198333,-116.9186667,2.114,1459620613929,,reviewed,1996-01-16 12:47:57.370000+00:00,False,,,
ci3250869,821860425260,2.71,"19km N of Ridgecrest, California",35.792,-117.648,4.006,1455220153922,,reviewed,1996-01-17 06:33:45.260000+00:00,False,,,
ci3250955,821920193330,3.42,"3km SE of Big Bear City, California",34.242,-116.829,5.463,1455274413200,,reviewed,1996-01-17 23:09:53.330000+00:00,False,,,
ci3251076,821996260700,3.11,"15km NNE of Ridgecrest, California",35.745,-117.618,4.53,1455256865724,,reviewed,1996-01-18 20:17:40.700000+00:00,False,,,
ci3251345,822178736490,2.51,"15km N of Barstow, California",35.035,-116.999,4.607,1455320731541,,reviewed,1996-01-20 22:58:56.490000+00:00,False,,,
ci3251348,822179447600,2.56,"16km N of Barstow, California",35.037,-117.0,4.647,1455320733356,,reviewed,1996-01-20 23:10:47.600000+00:00,False,,,
ci3251401,822225678400,3.24,"2km SSW of Yucca Valley, California",34.096,-116.445,7.297,1455220176880,,reviewed,1996-01-21 12:01:18.400000+00:00,False,,,
ci3251530,822338001820,2.62,"8km NW of Morongo Valley, California",34.097,-116.642,1.723,1455339049053,,reviewed,1996-01-22 19:13:21.820000+00:00,False,,,
ci3251671,822416047010,2.55,"5km WNW of Castaic, California",34.501,-118.676,17.363,1455220186371,,reviewed,1996-01-23 16:54:07.010000+00:00,False,,,
